date,product_code,customer_code,sold_quantity
2024-01-01,FISH5587BB,90002008,321.0
2024-01-01,CAMPCB6B05,90002038,903.0
2024-01-01,CRICBBFD56,90002036,572.0
2024-01-01,WLFT5DC367,90002004,140.0
2024-01-01,SURF4C4A20,90002006,603.0
2024-01-01,CRIC94FE34,90002021,115.0
2024-01-01,BOX381514,90002045,93.0
2024-01-01,FISH731A02,90002024,370.0
2024-01-01,YOGA46952D,90002044,126.0
2024-01-01,CRIC6888B0,90002041,147.0
2024-01-01,SQUABC7FB7,90002010,642.0
2024-01-01,WLFTAE945F,90002024,474.0
2024-01-01,SKAT4B3F04,90002011,187.0
2024-01-01,HIK36B5E7,90002038,60.0
2024-01-01,FOOT528FB5,90002016,135.0
2024-01-01,VOLL25A084,90002023,1508.0
2024-01-01,FOOT86D9A9,90002031,626.0
2024-01-01,CRIC462BA5,90002045,945.0
2024-01-01,TTEN18B609,90002038,330.0
2024-01-01,YOGA80ED66,90002041,191.0
2024-01-01,RACKCFA60B,90002010,593.0
2024-01-01,CRICA7893F,90002042,832.0
2024-01-01,SQUA4C7DCE,90002034,170.0
2024-01-01,WLFT7AD84A,90002046,138.0
2024-01-01,RUN785BD8,90002002,66.0
2024-01-01,SQUA84B377,90002003,135.0
2024-01-01,CYCL93104D,90002054,479.0
2024-01-01,BADM48A260,90002035,153.0
2024-01-01,SWIM3B2B99,90002006,607.0
2024-01-01,VOLL5D6300,90002040,1542.0
2024-01-01,HIKF7229D,90002047,268.0
2024-01-01,TABL9E75DD,90002026,258.0
2024-01-01,GAMES78D8F4,90002029,430.0
2024-01-01,FISH5587BB,90002056,156.0
2024-01-01,SWIM3BD53D,90002007,146.0
2024-01-01,RACK44C09B,90002052,150.0
2024-01-01,FOOTCC8143,90002049,93.0
2024-01-01,FOOT3DC7AC,90002027,590.0
2024-01-01,SQUA82575A,90002012,167.0
2024-01-01,BOX3DC0E4,90002038,714.0
2024-01-01,SKATDA2B42,90002039,422.0
2024-01-01,WLFTF2E540,90002020,257.0
2024-01-01,FISH9DCA51,90002009,544.0
2024-01-01,FOOT65813B,90002021,112.0
2024-01-01,ROCKC5CC34,70002017,130.0
2024-01-01,YOGAD6E90F,90002044,499.0
2024-01-01,BASK2A3E51,90002035,36.0
2024-01-01,YOGAD6E90F,90002019,266.0
2024-01-01,BADM1B8332,90002024,446.0
2024-01-01,WLFTB0B8BE,90002044,854.0
2024-01-01,WLFT1B93D6,90002034,1027.0
2024-01-01,CAMP11E3FA,90002052,233.0
2024-01-01,RUN2FE4D5,90002021,525.0
2024-01-01,CRICDB62E7,90002055,127.0
2024-01-01,FISHE20FE7,70002017,176.0
2024-01-01,WLFTAE945F,90002052,899.0
2024-01-01,SWIM814E22,90002053,253.0
2024-01-01,CRIC7633A6,90002049,303.0
2024-01-01,YOGA6FA844,90002038,103.0
2024-01-01,CRIC55A6B5,90002013,384.0
2024-01-01,GAMES55E6CB,90002019,517.0
2024-01-01,TENNF49374,90002045,503.0
2024-01-01,FOOTB792C1,90002007,88.0
2024-01-01,SWIMDDF7B3,90002051,645.0
2024-01-01,CRIC2101AF,90002007,106.0
2024-01-01,FOOT0E544D,90002008,256.0
2024-01-01,FOOT80D996,90002050,61.0
2024-01-01,SURF7A248A,90002055,-5.0
2024-01-01,FOOT595ABB,90002051,106.0
2024-01-01,CAMPA3B110,90002024,175.0
2024-01-01,RACK435CCD,90002039,277.0
2024-01-01,ARCH497D34,90002033,552.0
2024-01-01,SURF7588B4,90002050,536.0
2024-01-01,CYCL93104D,90002023,32.0
2024-01-01,WLFTB0B8BE,90002024,483.0
2024-01-01,SURF515A92,90002009,316.0
2024-01-01,HIK77A350,90002036,158.0
2024-01-01,FOOT3DC7AC,70002018,118.0
2024-01-01,CYCLB9F510,90002005,248.0
2024-01-01,GAMES7519A2,90002016,323.0
2024-01-01,FOOTAB35F3,90002025,368.0
