date,product_code,customer_code,sold_quantity
2025-12-01,TABL01D58E,70002018,272.0
2025-12-01,BADM7E90FB,90002034,257.0
2025-12-01,VOLLF0E251,90002056,1087.0
2025-12-01,CRIC2101AF,90002039,348.0
2025-12-01,RUN192A50,90002008,439.0
2025-12-01,RUN192A50,90002039,278.0
2025-12-01,CRICC0D928,90002017,357.0
2025-12-01,SURF8627B1,90002003,536.0
2025-12-01,SKAT751A86,90002004,1321.0
2025-12-01,CAMPEE1159,90002051,165.0
2025-12-01,HIK122A22,70002018,537.0
2025-12-01,RUN192A50,90002022,648.0
2025-12-01,ROCKC708F5,90002034,1000.0
2025-12-01,SQUA160B6F,90002054,634.0
2025-12-01,BADMD11DA6,90002048,281.0
2025-12-01,SQUA99D795,70002018,325.0
2025-12-01,WLFT1704AC,90002047,48.0
2025-12-01,SWIMDDF7B3,90002028,131.0
2025-12-01,YOGAA7E602,90002037,116.0
2025-12-01,CRIC1FC74E,90002042,351.0
2025-12-01,CRIC76C189,90002051,1470.0
2025-12-01,ARCHDDE20D,90002022,167.0
2025-12-01,CYCLBD7368,90002001,682.0
2025-12-01,CRICF950D4,70002017,551.0
2025-12-01,HANDAE4BB7,90002011,344.0
2025-12-01,VOLLEEC6A4,90002039,106.0
2025-12-01,WEIG189898,90002007,479.0
2025-12-01,CRICDB62E7,90002019,178.0
2025-12-01,BADM4BAB38,90002056,93.0
2025-12-01,VOLLEEC6A4,90002038,160.0
2025-12-01,WLFT5DC367,90002014,213.0
2025-12-01,YOGA1B22A2,90002046,1126.0
2025-12-01,BASK4C69DF,90002026,108.0
2025-12-01,VOLL56AE91,90002036,241.0
2025-12-01,SWIM1E7A6B,90002045,181.0
2025-12-01,CRICB05F0F,90002035,2112.0
2025-12-01,BASK4C69DF,90002043,1078.0
2025-12-01,BADM095A46,90002056,421.0
2025-12-01,RUN4820EF,90002016,772.0
2025-12-01,GAMES594E41,90002008,90.0
2025-12-01,BOX8606F7,90002031,42.0
2025-12-01,SKAT24B8F2,90002020,26.0
2025-12-01,ARCH158F41,90002046,250.0
2025-12-01,CRIC7A3D0A,90002040,511.0
2025-12-01,TENN0B614F,90002034,153.0
2025-12-01,SWIME2E04A,90002018,1185.0
2025-12-01,FOOTD3B001,90002021,495.0
2025-12-01,BADM672AFB,90002025,985.0
2025-12-01,TENN11B50C,90002049,150.0
2025-12-01,ARCH7B49A9,90002004,595.0
2025-12-01,CRICCCD675,90002011,375.0
2025-12-01,TENN151AB9,90002031,263.0
2025-12-01,HIK8D130E,90002052,1151.0
2025-12-01,YOGA4680D3,90002026,446.0
2025-12-01,BADMA5EBA3,70002018,219.0
2025-12-01,CRICC6150F,90002043,506.0
2025-12-01,TENN8449BB,90002010,432.0
2025-12-01,ROCK0F8FA1,90002049,542.0
2025-12-01,GAMES5EF6E3,90002010,311.0
2025-12-01,SWIM9CDC96,90002028,291.0
2025-12-01,GAMES7519A2,90002030,106.0
2025-12-01,FOOTD3B001,90002048,318.0
2025-12-01,RUN1AB696,90002040,611.0
2025-12-01,ROCK0F8FA1,90002032,248.0
2025-12-01,RACK66912E,90002011,416.0
2025-12-01,HIKIA6B881,90002012,279.0
2025-12-01,YOGA80ED66,90002011,61.0
2025-12-01,FOOT614FC7,90002034,363.0
2025-12-01,CRIC294CD6,90002023,188.0
2025-12-01,SKAT6927C8,90002039,494.0
2025-12-01,TENN8449BB,90002008,124.0
2025-12-01,SQUAA3B44A,90002049,378.0
